iguanaID,tx,diet,lps,time,oxy
1,G-C,g,c,0423oxystd,0.507475006
1,G-C,g,c,0428oxystd,-2.370650494
1,G-C,g,c,0430oxystd,1.537563913
1,G-C,g,c,0504oxystd,0.542279862
1,G-C,g,c,0511oxystd,-0.886479907
1,G-C,g,c,0525oxystd,0.615878159
1,G-C,g,c,0528oxystd,0.45578191
1,G-C,g,c,0530oxystd,-0.064946408
1,G-C,g,c,0603oxystd,0.809278497
1,G-C,g,c,0610oxystd,-0.076118429
1,G-C,g,c,0628oxystd,0.045789075
2,W-L,w,l,0423oxystd,1.306463117
2,W-L,w,l,0428oxystd,-1.997492546
2,W-L,w,l,0430oxystd,1.567535475
2,W-L,w,l,0504oxystd,1.178847524
2,W-L,w,l,0511oxystd,3.023322302
2,W-L,w,l,0525oxystd,-0.054972483
2,W-L,w,l,0528oxystd,0.877485372
2,W-L,w,l,0530oxystd,0.775405054
2,W-L,w,l,0603oxystd,-0.237398088
2,W-L,w,l,0610oxystd,0.183095681
2,W-L,w,l,0624oxystd,-1.707232162
2,W-L,w,l,0628oxystd,-0.231310029
3,G-C,g,c,0423oxystd,-1.023918872
3,G-C,g,c,0428oxystd,-1.677642876
3,G-C,g,c,0430oxystd,1.597507036
3,G-C,g,c,0504oxystd,-1.566350521
3,G-C,g,c,0511oxystd,1.291838467
3,G-C,g,c,0525oxystd,0.213367774
3,G-C,g,c,0528oxystd,-0.018634484
3,G-C,g,c,0530oxystd,0.43926447
3,G-C,g,c,0603oxystd,1.018613814
3,G-C,g,c,0610oxystd,0.07200392
3,G-C,g,c,0624oxystd,-2.215129679
3,G-C,g,c,0628oxystd,1.061819122
4,G-L,g,l,0423oxystd,-1.023918872
4,G-L,g,l,0428oxystd,-1.464409763
4,G-L,g,l,0430oxystd,1.387706106
4,G-L,g,l,0504oxystd,-1.009353816
4,G-L,g,l,0511oxystd,-1.22160581
4,G-L,g,l,0525oxystd,1.051931076
4,G-L,g,l,0528oxystd,-3.603113908
4,G-L,g,l,0530oxystd,-1.185415024
4,G-L,g,l,0603oxystd,-1.493409989
4,G-L,g,l,0610oxystd,0.405279205
4,G-L,g,l,0624oxystd,-0.408476417
4,G-L,g,l,0628oxystd,1.108002305
5,W-L,w,l,0423oxystd,-1.2236659
5,W-L,w,l,0428oxystd,-0.558169032
5,W-L,w,l,0430oxystd,1.567535475
5,W-L,w,l,0504oxystd,-0.691069985
5,W-L,w,l,0511oxystd,-0.551354003
5,W-L,w,l,0525oxystd,-3.644023418
5,W-L,w,l,0528oxystd,1.720892295
5,W-L,w,l,0530oxystd,-1.297461885
5,W-L,w,l,0610oxystd,-0.039087842
5,W-L,w,l,0624oxystd,0.015964646
5,W-L,w,l,0628oxystd,-0.877874604
6,W-C,w,c,0423oxystd,-1.356830585
6,W-C,w,c,0428oxystd,-0.824710423
6,W-C,w,c,0430oxystd,1.597507036
6,W-C,w,c,0504oxystd,-0.810426422
6,W-C,w,c,0511oxystd,0.230606439
6,W-C,w,c,0525oxystd,-0.021429951
6,W-C,w,c,0528oxystd,-2.812419917
6,W-C,w,c,0530oxystd,0.215170746
6,W-C,w,c,0603oxystd,0.809278497
6,W-C,w,c,0610oxystd,1.997594457
6,W-C,w,c,0624oxystd,0.794106596
6,W-C,w,c,0628oxystd,-1.570622364
7,G-C,g,c,0423oxystd,0.374310321
7,G-C,g,c,0428oxystd,-0.984635258
7,G-C,g,c,0430oxystd,1.507592352
7,G-C,g,c,0504oxystd,0.582065341
7,G-C,g,c,0511oxystd,0.286460756
7,G-C,g,c,0525oxystd,-2.805460116
7,G-C,g,c,0528oxystd,-1.283744869
7,G-C,g,c,0530oxystd,-0.120969838
7,G-C,g,c,0603oxystd,0.861612326
